InstrumentID,FromDate,Open,High,Low,Close
17,2011-11-20T21:00:00Z,97.81,98.63,94.96,96.44
17,2011-11-13T21:00:00Z,98.91,103.33,96.67,97.81
17,2011-11-06T21:00:00Z,94.31,99.13,93.19,98.91
17,2011-10-30T21:00:00Z,93.44,94.88,89.13,94.31
17,2011-10-23T21:00:00Z,87.63,94.54,87.0,93.44
17,2011-10-16T21:00:00Z,87.18,89.64,84.19,87.63
17,2011-10-09T21:00:00Z,83.06,87.29,83.06,87.18
17,2011-10-02T21:00:00Z,79.01,83.94,74.92,83.06
17,2011-09-25T21:00:00Z,80.26,84.72,77.11,79.01
17,2011-09-18T21:00:00Z,87.98,87.98,77.51,80.26
17,2011-09-11T21:00:00Z,87.16,90.47,84.96,87.98
17,2011-09-04T21:00:00Z,86.58,90.18,83.18,87.16
17,2011-08-28T21:00:00Z,85.39,89.86,85.09,86.58
17,2011-08-21T21:00:00Z,82.44,86.52,81.13,85.39
17,2011-08-14T21:00:00Z,85.21,88.94,79.34,82.44
17,2011-08-07T21:00:00Z,86.89,87.32,75.68,85.21
17,2011-07-31T21:00:00Z,95.86,98.53,82.84,86.89
17,2011-07-24T21:00:00Z,99.66,100.57,94.92,95.86
17,2011-07-17T21:00:00Z,97.26,100.13,94.64,99.66
17,2011-07-10T21:00:00Z,96.29,99.14,93.52,97.26
17,2011-07-03T21:00:00Z,94.82,99.38,94.31,96.29
17,2011-06-26T21:00:00Z,91.12,95.79,89.57,94.82
17,2011-06-19T21:00:00Z,93.03,95.64,89.67,91.12
17,2011-06-12T21:00:00Z,99.12,99.91,91.81,93.03
17,2011-06-05T21:00:00Z,100.46,102.38,97.71,99.12
17,2011-05-29T21:00:00Z,100.54,103.33,98.09,100.46
17,2011-05-22T21:00:00Z,100.18,101.84,96.33,100.54
17,2011-05-15T21:00:00Z,99.26,101.21,94.97,100.18
17,2011-05-08T21:00:00Z,97.86,104.54,95.2,99.26
17,2011-05-01T21:00:00Z,112.19,114.78,94.65,97.86
17,2011-04-17T21:00:00Z,109.46,112.44,105.97,112.19
17,2011-04-10T21:00:00Z,112.87,113.42,105.27,109.46
17,2011-04-03T21:00:00Z,108.08,112.89,107.48,112.87
17,2011-03-27T21:00:00Z,105.54,108.12,102.68,108.08
17,2011-03-20T21:00:00Z,101.33,106.63,101.33,105.54
17,2011-03-13T21:00:00Z,100.61,103.59,96.18,101.33
17,2011-03-06T21:00:00Z,104.76,106.91,99.19,100.61
17,2011-02-27T21:00:00Z,98.22,104.89,96.25,104.76
17,2011-02-20T21:00:00Z,89.79,103.52,89.79,98.22
17,2011-02-13T21:00:00Z,85.43,90.92,83.82,89.79
17,2011-02-06T21:00:00Z,88.78,89.49,85.06,85.43
17,2011-01-30T21:00:00Z,89.34,92.79,88.37,88.78
17,2011-01-23T21:00:00Z,89.12,89.68,85.07,89.34
17,2011-01-16T21:00:00Z,91.57,92.96,88.74,89.12
17,2011-01-09T21:00:00Z,88.39,92.34,88.09,91.57
17,2011-01-02T21:00:00Z,89.92,92.52,87.21,88.39
17,2010-12-26T21:00:00Z,91.49,91.83,88.97,89.92
17,2010-12-19T21:00:00Z,88.57,91.57,87.69,91.49
17,2010-12-12T21:00:00Z,87.76,89.42,86.79,88.57
17,2010-12-05T21:00:00Z,89.39,90.71,87.08,87.76
17,2010-11-28T21:00:00Z,83.72,89.42,83.52,89.39
17,2010-11-21T21:00:00Z,81.89,84.49,80.24,83.72
17,2010-11-14T21:00:00Z,84.61,85.71,80.02,81.89
17,2010-11-07T21:00:00Z,86.92,88.58,84.49,84.61
17,2010-10-31T21:00:00Z,81.39,87.19,81.28,86.92
17,2010-10-24T21:00:00Z,81.86,83.22,80.48,81.39
17,2010-10-17T21:00:00Z,81.32,83.83,79.83,81.86
17,2010-10-10T21:00:00Z,82.78,84.07,80.72,81.32
17,2010-10-03T21:00:00Z,81.53,84.39,80.27,82.78
17,2010-09-26T21:00:00Z,76.42,81.64,75.47,81.53
17,2010-09-19T21:00:00Z,73.57,76.72,73.54,76.42
17,2010-09-12T21:00:00Z,76.52,77.99,72.72,73.57
17,2010-09-05T21:00:00Z,74.31,76.67,72.59,76.52
17,2010-08-29T21:00:00Z,75.32,75.53,71.49,74.31
17,2010-08-22T21:00:00Z,73.89,75.34,70.72,75.32
17,2010-08-15T21:00:00Z,75.54,76.59,73.39,73.89
17,2010-08-08T21:00:00Z,80.81,81.93,74.97,75.54
17,2010-08-01T21:00:00Z,78.88,82.92,78.79,80.81
17,2010-07-25T21:00:00Z,78.94,79.63,75.87,78.88
17,2010-07-18T21:00:00Z,75.78,79.54,75.78,78.94
17,2010-07-11T21:00:00Z,76.22,78.09,74.21,75.78
17,2010-07-04T21:00:00Z,72.34,76.45,71.07,76.22
17,2010-06-27T21:00:00Z,79.03,79.32,71.58,72.34
17,2010-06-20T21:00:00Z,77.36,79.59,75.24,79.03
17,2010-06-13T21:00:00Z,74.23,78.09,74.02,77.36
17,2010-06-06T21:00:00Z,71.08,76.25,69.47,74.23
17,2010-05-30T21:00:00Z,74.05,75.37,70.76,71.08
17,2010-05-23T21:00:00Z,69.85,75.66,67.12,74.05
17,2020-02-16T22:00:00Z,52.38,54.61,51.13,53.31
17,2020-02-09T22:00:00Z,50.1,52.5,49.6,52.27
17,2020-02-02T22:00:00Z,51.13,52.26,49.44,50.53
17,2020-01-26T22:00:00Z,53.46,54.35,51.04,51.62
17,2020-01-19T22:00:00Z,59.25,59.64,53.86,54.38
17,2020-01-12T22:00:00Z,58.77,59.2,57.42,58.7
17,2020-01-05T22:00:00Z,63.53,65.42,58.55,59.08
17,2019-12-29T22:00:00Z,61.58,63.89,60.53,62.9
17,2019-12-22T22:00:00Z,60.3,61.89,60.06,61.64
17,2019-12-15T22:00:00Z,59.76,61.38,59.64,60.34
17,2019-12-08T22:00:00Z,59.09,60.36,58.04,59.73
17,2019-12-01T22:00:00Z,55.51,59.75,55.29,59.04
17,2019-11-24T22:00:00Z,57.86,58.61,55.02,55.38
17,2019-11-17T22:00:00Z,57.91,58.7,54.82,58.01
17,2019-11-10T22:00:00Z,57.3,58.03,56.26,57.93
17,2019-11-03T22:00:00Z,56.36,57.82,55.77,57.37
17,2019-10-27T21:00:00Z,56.64,56.94,53.75,56.15
17,2019-10-20T21:00:00Z,53.78,56.7,52.85,56.58
17,2019-10-13T21:00:00Z,54.87,54.89,52.46,53.76
17,2019-10-06T21:00:00Z,52.69,54.92,51.41,54.77
17,2019-09-29T21:00:00Z,56.29,56.31,50.92,52.88
17,2019-09-22T21:00:00Z,58.93,59.08,54.72,55.95
17,2019-09-15T21:00:00Z,57.35,63.12,56.96,58.48
17,2019-09-08T21:00:00Z,56.61,58.62,53.94,54.84
17,2019-09-01T21:00:00Z,54.8,57.59,52.75,56.49
17,2019-08-25T21:00:00Z,53.31,56.73,52.88,54.88
17,2019-08-18T21:00:00Z,54.93,57.04,53.22,53.84
17,2019-08-11T21:00:00Z,54.13,57.36,53.45,54.8
17,2019-08-04T21:00:00Z,55.17,55.51,50.48,54.18
17,2019-07-28T21:00:00Z,56.2,58.79,53.61,55.14
17,2019-07-21T21:00:00Z,56.31,57.62,55.33,56.24
17,2019-07-14T21:00:00Z,60.27,60.94,54.84,56.08
17,2019-07-07T21:00:00Z,57.85,60.96,57.34,60.36
17,2019-06-30T21:00:00Z,59.79,60.26,56.09,57.68
17,2019-06-23T21:00:00Z,57.81,59.92,56.74,58.14
17,2019-06-16T21:00:00Z,52.62,57.96,51.73,57.64
17,2019-06-09T21:00:00Z,54.51,54.93,50.89,52.75
17,2019-06-02T21:00:00Z,53.41,54.65,50.69,54.18
17,2019-05-26T21:00:00Z,58.91,59.69,53.12,53.39
17,2019-05-19T21:00:00Z,63.4,63.95,57.3,58.93
17,2019-05-12T21:00:00Z,61.79,63.81,60.75,62.82
17,2019-05-05T21:00:00Z,60.85,62.99,60.08,61.83
17,2019-04-28T21:00:00Z,62.9,64.73,61.0,61.89
17,2019-04-21T21:00:00Z,64.19,66.53,62.26,62.83
17,2019-04-14T21:00:00Z,63.86,64.71,63.14,64.03
17,2019-04-07T21:00:00Z,63.36,64.68,63.13,63.93
17,2019-03-31T21:00:00Z,60.24,63.33,60.24,63.23
17,2019-03-24T21:00:00Z,59.08,60.75,58.22,60.19
17,2019-03-17T21:00:00Z,58.75,60.39,58.3,58.88
17,2019-03-10T21:00:00Z,56.31,59.21,56.21,58.66
17,2019-03-03T22:00:00Z,56.14,57.38,54.76,56.2
17,2019-02-24T22:00:00Z,57.3,58.02,55.16,55.9
17,2019-02-17T22:00:00Z,56.16,57.89,55.69,57.27
17,2019-02-10T22:00:00Z,53.02,56.19,51.54,56.14
17,2019-02-03T22:00:00Z,55.4,55.9,52.03,52.95
17,2019-01-27T22:00:00Z,53.64,55.76,51.41,55.47
17,2019-01-20T22:00:00Z,54.02,54.48,51.88,53.64
17,2019-01-13T22:00:00Z,52.16,54.13,50.63,54.02
17,2019-01-06T22:00:00Z,48.38,53.54,48.32,51.93
17,2018-12-30T22:00:00Z,45.4,49.38,44.5,48.42
17,2018-12-23T22:00:00Z,45.57,47.06,42.42,45.16
17,2018-12-16T22:00:00Z,51.58,52.15,45.13,45.43
17,2018-12-09T22:00:00Z,52.38,53.43,50.56,51.37
17,2018-12-02T22:00:00Z,52.3,54.65,50.23,52.4
17,2018-11-25T22:00:00Z,50.94,52.58,49.49,50.82
17,2018-11-18T22:00:00Z,57.04,57.56,50.36,50.4
17,2018-11-11T22:00:00Z,61.0,61.4,54.89,57.01
17,2018-11-04T22:00:00Z,62.93,64.17,59.41,59.91
17,2018-10-28T21:00:00Z,67.58,67.97,62.6,63.0
17,2018-10-21T21:00:00Z,69.61,69.81,65.75,67.7
17,2018-10-14T21:00:00Z,71.7,72.5,68.53,69.45
17,2018-10-07T21:00:00Z,74.36,75.14,70.36,71.34
17,2018-09-30T21:00:00Z,73.31,76.77,72.84,74.27
17,2018-09-23T21:00:00Z,71.35,73.62,71.29,73.41
17,2018-09-16T21:00:00Z,68.76,71.68,68.26,70.71
17,2018-09-09T21:00:00Z,67.67,70.91,67.2,68.72
17,2018-09-02T21:00:00Z,69.66,71.12,66.7,67.68
17,2018-08-26T21:00:00Z,68.43,70.26,68.06,69.64
17,2018-08-19T21:00:00Z,65.14,69.17,64.79,68.46
17,2018-08-12T21:00:00Z,67.08,67.73,63.88,65.14
17,2018-08-05T21:00:00Z,67.85,69.13,65.57,67.15
17,2018-07-29T21:00:00Z,68.5,69.88,66.29,67.89
17,2018-07-22T21:00:00Z,67.77,69.48,67.29,68.64
17,2018-07-15T21:00:00Z,69.53,69.8,66.22,67.85
17,2018-07-08T21:00:00Z,72.27,73.35,68.23,69.65
17,2018-07-01T21:00:00Z,72.49,73.84,70.65,72.37
17,2018-06-24T21:00:00Z,68.45,73.63,67.39,73.48
17,2018-06-17T21:00:00Z,64.2,69.07,63.36,68.99
17,2018-06-10T21:00:00Z,65.43,66.99,64.12,64.22
17,2018-06-03T21:00:00Z,65.65,66.15,64.16,65.51
17,2018-05-27T21:00:00Z,67.37,68.56,65.46,65.67
17,2018-05-20T21:00:00Z,71.4,72.83,67.43,67.54
17,2018-05-13T21:00:00Z,70.43,72.32,70.21,71.4
17,2018-05-06T21:00:00Z,69.72,71.78,67.57,70.52
17,2018-04-29T21:00:00Z,68.04,69.85,66.79,69.63
17,2018-04-22T21:00:00Z,68.19,69.29,67.04,67.96
17,2018-04-15T21:00:00Z,67.4,69.49,65.57,68.02
17,2018-04-08T21:00:00Z,62.05,67.6,61.99,67.28
17,2018-04-01T21:00:00Z,64.88,65.37,61.81,61.87
17,2018-03-25T21:00:00Z,65.79,66.5,63.67,64.84
17,2018-03-18T21:00:00Z,62.3,65.9,61.41,65.89
17,2018-03-11T21:00:00Z,61.94,62.55,60.15,62.26
17,2018-03-04T22:00:00Z,61.4,63.1,59.89,61.95
17,2018-02-25T22:00:00Z,63.51,64.14,60.03,61.3
17,2018-02-18T22:00:00Z,61.53,63.63,60.7,63.45
17,2018-02-11T22:00:00Z,58.91,61.8,58.07,61.47
17,2018-02-04T22:00:00Z,64.62,65.08,57.89,59.02
17,2018-01-28T22:00:00Z,66.09,66.33,63.57,64.78
17,2018-01-21T22:00:00Z,63.38,66.54,63.0,66.08
17,2018-01-14T22:00:00Z,64.3,64.66,62.74,63.36
17,2018-01-07T22:00:00Z,61.59,64.54,61.31,64.32
17,2017-12-31T22:00:00Z,60.2,62.1,60.09,61.49
17,2017-12-24T22:00:00Z,58.47,60.48,58.31,60.22
17,2017-12-17T22:00:00Z,57.35,58.49,56.85,58.25
17,2017-12-10T22:00:00Z,57.28,58.55,56.08,57.34
17,2017-12-03T22:00:00Z,58.26,58.26,55.83,57.39
17,2017-11-26T22:00:00Z,58.91,58.91,56.74,58.33
17,2017-11-19T22:00:00Z,56.72,58.87,55.73,58.82
17,2017-11-12T22:00:00Z,57.16,57.32,54.97,56.72
17,2017-11-05T22:00:00Z,55.95,58.05,55.78,57.03
17,2017-10-29T21:00:00Z,54.2,55.86,53.81,55.84
17,2017-10-22T21:00:00Z,52.16,54.07,51.55,54.04
17,2017-10-15T21:00:00Z,51.65,52.6,50.87,51.99
17,2017-10-08T21:00:00Z,49.5,51.97,49.35,51.61
17,2017-10-01T21:00:00Z,51.76,51.83,49.31,49.53
17,2017-09-24T21:00:00Z,50.73,52.95,50.47,51.68
17,2017-09-17T21:00:00Z,50.38,51.12,49.67,50.7
17,2017-09-10T21:00:00Z,48.02,50.85,47.45,50.39
17,2017-09-03T21:00:00Z,47.67,49.66,47.44,47.96
17,2017-08-27T21:00:00Z,48.2,48.22,45.84,47.66
17,2017-08-20T21:00:00Z,48.85,48.86,47.1,47.84
17,2017-08-13T21:00:00Z,48.83,49.25,46.6,48.79
17,2017-08-06T21:00:00Z,49.6,50.29,48.09,48.88
17,2017-07-30T21:00:00Z,49.99,50.44,48.38,49.54
17,2017-07-23T21:00:00Z,45.7,49.8,45.42,49.77
17,2017-07-16T21:00:00Z,46.86,47.73,45.56,45.72
17,2017-07-09T21:00:00Z,44.61,46.87,43.75,46.8
17,2017-07-02T21:00:00Z,46.33,47.4,43.88,44.44
17,2017-06-25T21:00:00Z,43.28,46.38,42.68,46.35
17,2017-06-18T21:00:00Z,44.93,45.27,42.07,43.14
17,2017-06-11T21:00:00Z,46.04,46.88,44.43,44.94
17,2017-06-04T21:00:00Z,47.81,48.53,45.38,45.98
17,2017-05-28T21:00:00Z,49.98,50.34,46.84,47.91
17,2017-05-21T21:00:00Z,50.95,52.03,48.24,49.83
17,2017-05-14T21:00:00Z,48.12,50.79,48.02,50.75
17,2017-05-07T21:00:00Z,46.64,48.48,45.78,48.14
17,2017-04-30T21:00:00Z,49.34,49.42,43.98,46.64
17,2017-04-23T21:00:00Z,49.93,50.27,48.33,49.27
17,2017-04-16T21:00:00Z,53.33,53.59,49.23,49.67
17,2017-04-09T21:00:00Z,52.6,54.07,52.59,53.24
17,2017-04-02T21:00:00Z,50.92,53.22,50.15,52.51
17,2017-03-26T21:00:00Z,48.24,51.01,47.24,50.95
17,2017-03-19T21:00:00Z,49.22,49.52,47.16,48.3
17,2017-03-12T21:00:00Z,48.89,50.11,47.63,49.24
17,2017-03-05T22:00:00Z,53.54,54.08,48.71,48.82
17,2017-02-26T22:00:00Z,54.12,54.69,52.76,53.42
17,2017-02-19T22:00:00Z,53.95,55.03,53.43,54.11
17,2017-02-12T22:00:00Z,54.27,54.34,53.11,53.75
17,2017-02-05T22:00:00Z,54.23,54.52,51.61,54.16
17,2017-01-29T22:00:00Z,53.36,54.66,52.53,54.19
17,2017-01-22T22:00:00Z,53.31,54.27,52.33,53.32
17,2017-01-15T22:00:00Z,53.19,54.29,51.73,53.27
17,2017-01-08T22:00:00Z,54.44,54.46,51.39,53.25
17,2017-01-01T22:00:00Z,54.53,55.72,52.65,54.29
17,2016-12-25T22:00:00Z,53.56,54.68,53.27,54.2
17,2016-12-18T22:00:00Z,53.33,53.92,52.28,53.3
17,2016-12-11T22:00:00Z,54.73,55.26,51.08,53.09
17,2016-12-04T22:00:00Z,51.99,52.96,50.44,52.15
17,2016-11-27T22:00:00Z,45.78,52.22,45.4,52.01
17,2016-11-20T22:00:00Z,46.73,49.33,46.42,46.74
17,2016-11-13T22:00:00Z,43.95,47.12,42.85,46.32
17,2016-11-06T22:00:00Z,44.87,46.4,43.58,43.81
17,2016-10-30T21:00:00Z,48.59,48.99,43.92,44.46
17,2016-10-23T21:00:00Z,51.0,51.08,48.66,48.93
17,2016-10-16T21:00:00Z,50.63,52.23,49.88,51.01
17,2016-10-09T21:00:00Z,50.01,52.0,49.56,50.69
17,2016-10-02T21:00:00Z,48.31,51.11,48.07,50.01
17,2016-09-25T21:00:00Z,44.88,48.55,44.36,48.24
17,2016-09-18T21:00:00Z,43.76,46.67,43.13,44.81
17,2016-09-11T21:00:00Z,45.98,46.95,43.36,43.77
17,2016-09-04T21:00:00Z,44.47,48.18,44.23,46.06
17,2016-08-28T21:00:00Z,47.41,47.74,43.3,44.61
17,2016-08-21T21:00:00Z,48.88,48.96,46.6,47.56
17,2016-08-14T21:00:00Z,45.29,49.39,44.98,49.06
17,2016-08-07T21:00:00Z,42.43,45.28,41.71,45.27
17,2016-07-31T21:00:00Z,41.67,42.57,39.6,42.45
17,2016-07-24T21:00:00Z,44.4,44.52,40.87,41.74
17,2016-07-17T21:00:00Z,46.78,46.81,43.87,44.35
17,2016-07-10T21:00:00Z,45.52,47.55,44.98,46.63
17,2016-07-03T21:00:00Z,49.54,49.71,45.28,45.76
17,2016-06-26T21:00:00Z,47.94,50.29,46.06,49.55
17,2016-06-19T21:00:00Z,48.3,50.63,46.9,47.84
17,2016-06-12T21:00:00Z,48.84,49.26,45.83,48.07
17,2016-06-05T21:00:00Z,48.88,51.65,48.7,48.94
17,2016-05-29T21:00:00Z,49.69,50.09,47.74,48.81
17,2016-05-22T21:00:00Z,48.47,50.19,47.39,49.5
17,2016-05-15T21:00:00Z,46.22,49.27,46.13,48.47
17,2016-05-08T21:00:00Z,45.15,47.0,43.01,46.29
17,2016-05-01T21:00:00Z,45.92,46.13,43.21,44.6
17,2016-04-24T21:00:00Z,43.59,46.76,42.49,45.93
17,2016-04-17T21:00:00Z,38.1,44.47,37.62,43.71
17,2016-04-10T21:00:00Z,40.13,42.4,39.24,40.45
17,2016-04-03T21:00:00Z,36.58,39.82,35.23,39.53
17,2016-03-27T21:00:00Z,39.62,40.12,36.62,36.7
17,2016-03-20T21:00:00Z,40.91,41.86,38.32,39.52
17,2016-03-13T21:00:00Z,38.31,41.18,35.95,39.31
17,2016-03-06T22:00:00Z,36.21,39.0,36.08,38.52
17,2016-02-28T22:00:00Z,32.76,36.26,32.32,36.19
17,2016-02-21T22:00:00Z,31.93,34.66,30.54,32.85
17,2016-02-14T22:00:00Z,29.1,31.95,28.68,29.84
17,2016-02-07T22:00:00Z,30.93,31.36,26.04,29.11
17,2016-01-31T22:00:00Z,33.7,34.07,29.39,30.99
17,2016-01-24T22:00:00Z,32.37,34.8,29.24,33.67
17,2016-01-17T22:00:00Z,28.67,32.33,27.55,32.16
17,2016-01-10T22:00:00Z,32.89,33.19,29.12,29.72
17,2016-01-03T22:00:00Z,37.81,38.37,32.09,32.92
17,2015-12-27T22:00:00Z,38.02,38.03,36.21,37.68
17,2015-12-20T22:00:00Z,35.96,38.16,35.34,38.03
17,2015-12-13T22:00:00Z,35.4,37.86,34.27,34.53
17,2015-12-06T22:00:00Z,40.07,40.11,35.33,35.34
17,2015-11-29T22:00:00Z,41.82,42.58,39.6,40.08
17,2015-11-22T22:00:00Z,41.47,43.44,40.4,41.93
17,2015-11-15T22:00:00Z,40.7,42.71,39.85,41.51
17,2015-11-08T22:00:00Z,44.25,45.06,40.18,43.65
17,2015-11-01T22:00:00Z,46.26,48.31,44.07,44.45
17,2015-10-25T21:00:00Z,44.57,46.97,42.55,46.39
17,2015-10-18T21:00:00Z,47.3,47.45,44.17,44.59
17,2015-10-11T21:00:00Z,49.64,50.09,45.2,47.2
17,2015-10-04T21:00:00Z,45.35,50.86,45.17,49.47
17,2015-09-27T21:00:00Z,45.33,47.03,43.94,45.58
17,2015-09-20T21:00:00Z,45.1,47.1,43.67,45.41
17,2015-09-13T21:00:00Z,44.75,47.65,43.55,44.96
17,2015-09-06T21:00:00Z,45.66,46.35,43.34,44.72
17,2015-08-30T21:00:00Z,45.1,49.27,43.17,45.92
17,2015-08-23T21:00:00Z,40.16,45.84,37.71,45.25
17,2015-08-16T21:00:00Z,42.14,43.12,39.81,40.22
17,2015-08-09T21:00:00Z,43.54,45.29,41.55,42.09
17,2015-08-02T21:00:00Z,46.49,46.89,43.67,43.77
17,2015-07-26T21:00:00Z,47.94,49.47,46.64,46.74
17,2015-07-19T21:00:00Z,51.16,51.54,47.68,48.06
17,2015-07-12T21:00:00Z,52.07,53.46,50.79,50.99
17,2015-07-05T21:00:00Z,54.67,55.29,50.54,52.77
17,2015-06-21T21:00:00Z,59.57,61.52,58.72,59.54
17,2015-06-07T21:00:00Z,58.79,61.77,57.82,59.99
17,2015-05-24T21:00:00Z,59.87,60.64,56.47,60.27
17,2015-05-17T21:00:00Z,59.36,61.66,57.89,59.88
17,2015-05-10T21:00:00Z,59.36,59.36,59.36,59.36
17,2015-05-03T21:00:00Z,59.27,62.54,58.09,59.36
17,2015-04-26T21:00:00Z,57.37,59.83,56.04,59.19
17,2015-04-19T21:00:00Z,57.61,58.58,55.68,57.14
17,2015-04-12T21:00:00Z,51.74,57.34,51.44,55.99
17,2015-04-05T21:00:00Z,49.47,54.07,49.47,51.62
17,2015-03-29T21:00:00Z,48.17,50.39,46.99,49.47
17,2015-03-22T21:00:00Z,46.28,52.44,45.29,48.31
17,2015-03-08T21:00:00Z,49.62,50.74,44.7,44.93
17,2015-03-01T21:00:00Z,49.2,52.34,48.67,49.67
17,2015-02-22T21:00:00Z,50.42,51.22,47.78,49.22
17,2015-02-15T21:00:00Z,51.19,54.04,49.77,50.69
17,2015-02-08T21:00:00Z,51.99,53.92,48.04,51.19
17,2015-02-01T21:00:00Z,47.53,54.19,46.63,51.99
17,2015-01-25T21:00:00Z,45.03,48.31,43.54,47.79
17,2015-01-18T21:00:00Z,48.9,49.15,45.29,45.36
17,2015-01-11T21:00:00Z,48.19,51.22,44.17,48.74
17,2015-01-04T21:00:00Z,52.58,52.63,46.79,48.19
17,2014-12-28T21:00:00Z,54.96,55.68,52.01,52.53
17,2014-12-21T21:00:00Z,57.52,58.48,54.47,54.92
17,2014-12-14T21:00:00Z,56.68,58.99,53.57,57.98
17,2014-12-07T21:00:00Z,65.4,65.43,57.31,57.38
17,2014-11-30T21:00:00Z,65.9,69.49,63.69,65.62
17,2014-11-23T21:00:00Z,76.69,76.97,67.06,67.37
17,2014-11-16T21:00:00Z,76.06,77.76,73.87,76.69
17,2014-11-09T21:00:00Z,78.48,79.79,73.22,75.96
17,2014-11-02T21:00:00Z,80.69,80.94,75.87,78.48
17,2014-10-26T21:00:00Z,82.38,82.82,79.39,80.69
17,2014-10-19T21:00:00Z,82.38,82.42,81.97,82.38
17,2014-10-12T21:00:00Z,85.4,85.82,79.74,82.98
17,2014-10-05T21:00:00Z,89.46,90.69,83.57,85.42
17,2014-09-28T21:00:00Z,93.28,94.86,88.14,89.72
17,2014-09-21T21:00:00Z,92.16,93.82,90.37,93.34
17,2014-09-14T21:00:00Z,92.16,94.87,91.13,92.16
17,2014-09-07T21:00:00Z,93.42,93.89,90.39,92.16
17,2014-08-31T21:00:00Z,95.72,95.87,92.64,93.48
17,2014-08-24T21:00:00Z,93.39,95.94,93.01,95.86
17,2014-08-17T21:00:00Z,97.04,97.09,92.58,93.46
17,2014-08-10T21:00:00Z,97.38,98.52,95.22,97.04
17,2014-08-03T21:00:00Z,97.66,98.62,96.51,97.54
17,2014-07-27T21:00:00Z,101.83,102.04,97.04,97.58
17,2014-07-20T21:00:00Z,101.7,103.32,100.96,101.93
17,2014-07-13T21:00:00Z,100.53,103.89,98.97,102.99
17,2014-07-06T21:00:00Z,103.77,104.09,100.39,100.58
17,2014-06-29T21:00:00Z,105.64,106.03,103.59,103.76
17,2014-06-22T21:00:00Z,106.99,107.41,104.99,105.68
17,2014-06-15T21:00:00Z,107.19,107.49,105.07,106.62
17,2014-06-08T21:00:00Z,102.62,107.62,102.58,106.76
17,2014-06-01T21:00:00Z,102.83,103.63,101.54,102.71
17,2014-05-25T21:00:00Z,104.23,104.44,102.37,102.83
17,2014-05-18T21:00:00Z,102.13,104.47,101.5,104.36
17,2014-05-11T21:00:00Z,99.9,102.62,99.88,102.09
17,2014-05-04T21:00:00Z,99.84,101.12,98.88,100.03
17,2014-04-27T21:00:00Z,100.64,102.16,98.71,99.79
17,2014-04-20T21:00:00Z,103.66,103.79,100.44,100.62
17,2014-04-13T21:00:00Z,103.75,104.94,102.91,104.51
17,2014-04-06T21:00:00Z,100.96,104.39,99.87,103.37
17,2014-03-30T21:00:00Z,101.49,101.92,98.82,101.04
17,2014-03-23T21:00:00Z,99.39,102.19,98.81,101.48
17,2014-03-16T21:00:00Z,99.17,100.22,97.32,99.44
17,2014-03-09T21:00:00Z,102.65,102.67,97.51,98.89
17,2014-03-02T21:00:00Z,103.63,105.17,100.09,102.48
17,2014-02-23T21:00:00Z,102.33,103.39,100.99,102.51
17,2014-02-16T21:00:00Z,100.25,103.24,100.17,102.21
17,2014-02-09T21:00:00Z,100.13,101.34,99.07,100.32
17,2014-02-02T21:00:00Z,97.44,100.14,96.22,100.03
17,2014-01-26T21:00:00Z,96.98,98.54,95.17,97.44
17,2014-01-19T21:00:00Z,94.21,97.79,93.62,96.82
17,2014-01-12T21:00:00Z,92.78,95.02,91.39,94.28
17,2014-01-05T21:00:00Z,94.09,94.54,91.19,92.72
17,2013-12-29T21:00:00Z,100.12,100.39,93.82,94.11
17,2013-12-22T21:00:00Z,99.14,100.71,98.48,100.14
17,2013-12-15T21:00:00Z,96.64,99.44,96.17,99.16
17,2013-12-08T21:00:00Z,97.68,98.71,96.22,96.39
17,2013-12-01T21:00:00Z,92.69,98.01,92.52,97.62
17,2013-11-24T21:00:00Z,93.71,94.64,91.72,93.34
17,2013-11-17T21:00:00Z,93.61,95.57,92.69,94.81
17,2013-11-10T21:00:00Z,94.67,95.32,92.47,93.61
17,2013-11-03T21:00:00Z,94.37,95.34,93.03,94.27
17,2013-10-27T21:00:00Z,97.55,98.72,94.32,94.63
17,2013-10-20T21:00:00Z,100.99,101.17,95.91,97.93
17,2013-10-13T21:00:00Z,101.22,102.92,99.99,100.79
17,2013-10-06T21:00:00Z,103.37,104.02,100.62,101.89
17,2013-09-29T21:00:00Z,102.03,104.33,101.02,103.57
17,2013-09-22T21:00:00Z,104.62,105.06,102.16,102.67
17,2013-09-15T21:00:00Z,107.1,108.44,104.44,104.74
17,2013-09-08T21:00:00Z,109.95,110.42,106.36,108.36
17,2013-09-01T21:00:00Z,105.96,110.64,105.49,110.27
17,2013-08-25T21:00:00Z,107.62,112.19,105.01,107.64
17,2013-08-11T21:00:00Z,103.74,108.12,103.74,107.62
17,2013-08-04T21:00:00Z,106.69,107.63,102.19,103.74
17,2013-07-28T21:00:00Z,104.73,108.72,102.64,106.69
17,2013-07-21T21:00:00Z,107.98,108.54,103.86,104.62
17,2013-07-14T21:00:00Z,105.95,108.87,104.62,108.07
17,2013-07-07T21:00:00Z,103.63,107.41,102.09,106.12
17,2013-06-30T21:00:00Z,96.49,103.29,96.03,103.19
17,2013-06-23T21:00:00Z,93.72,97.77,92.67,96.52
17,2013-06-16T21:00:00Z,97.74,99.17,93.07,93.79
17,2013-06-09T21:00:00Z,96.09,98.21,94.02,97.77
